,timestamp,open,high,low,close,volume
84,2014-02-28,3.97,4.0299,3.17,3.58,7250500
85,2014-01-31,3.62,4.69,3.56,4.0,8436800
86,2013-12-31,3.51,3.85,3.45,3.62,4032500
87,2013-11-29,3.69,3.94,3.35,3.5,4910000
88,2013-10-31,3.01,4.15,2.7,3.64,6724400
89,2013-09-30,2.2,3.157,2.16,3.0,2991600
90,2013-08-30,2.85,2.94,2.05,2.16,4145500
91,2013-07-31,4.05,4.05,2.72,2.84,10732400
92,2013-06-28,3.51,4.19,3.4501,3.98,6600100
93,2013-05-31,3.63,3.79,3.45,3.56,1960700
94,2013-04-30,3.96,4.2,3.6501,3.74,3880500
95,2013-03-28,3.3,4.02,3.25,3.934,4651000
96,2013-02-28,2.82,3.531,2.74,3.34,5281900
97,2013-01-31,2.56,2.93,2.4,2.85,1608200
98,2012-12-31,2.86,3.1,2.39,2.48,3588400
99,2012-11-30,2.8,2.98,2.31,2.84,2325200
100,2012-10-31,3.02,3.05,2.41,2.75,1620400
101,2012-09-28,2.8,3.2,2.45,3.01,1927000
102,2012-08-31,2.05,2.9,1.91,2.82,2116900
103,2012-07-31,1.56,2.2,1.56,2.06,1594200
104,2012-06-29,1.7,1.71,1.55,1.7,295800
105,2012-05-31,1.7,1.74,1.6,1.7,830000
106,2012-04-30,1.7,1.78,1.5,1.7,529100
107,2012-03-30,1.74,1.8,1.48,1.69,677300
108,2012-02-29,1.75,1.84,1.59,1.67,733300
109,2012-01-31,1.42,1.8,1.4,1.75,805300
110,2011-12-30,1.43,1.5,1.31,1.4,497400
111,2011-11-30,1.33,1.84,1.2,1.36,436300
112,2011-10-31,1.05,1.35,0.96,1.34,518900
113,2011-09-30,1.15,1.32,1.05,1.05,269400
114,2011-08-31,1.45,1.45,1.1,1.15,693800
115,2011-07-29,1.3,1.5,1.2,1.45,234500
116,2011-06-30,1.42,1.5,1.15,1.3,353400
117,2011-05-31,1.48,1.5,1.15,1.42,325900
118,2011-04-29,1.25,1.51,1.25,1.48,315600
119,2011-03-31,1.38,1.53,1.35,1.37,315300
120,2011-02-28,1.5,1.67,1.3,1.35,293200
121,2011-01-31,1.35,1.65,1.12,1.56,423700
122,2010-12-31,1.29,1.34,1.22,1.3,221300
123,2010-11-30,1.2,1.35,0.99,1.27,399200
124,2010-10-29,1.1,1.25,0.97,1.2,252400
125,2010-09-30,1.0,1.13,1.0,1.09,253500
126,2010-08-31,1.1,1.15,0.95,1.04,316600
127,2010-07-30,1.28,1.3,1.04,1.15,666700
128,2010-06-30,1.4,1.4,1.26,1.27,459600
129,2010-05-28,1.4,1.5,1.15,1.45,505300
130,2010-04-30,1.41,1.48,1.36,1.4,329300
131,2010-03-31,1.38,1.7,1.3,1.4,800000
132,2010-02-26,1.43,1.54,1.15,1.36,376700
133,2010-01-29,1.55,1.55,1.24,1.46,531400
134,2009-12-31,1.53,1.57,1.48,1.5,1221500
135,2009-11-30,1.74,1.74,1.405,1.52,726000
136,2009-10-30,1.73,1.8,1.65,1.69,761300
137,2009-09-30,1.59,1.75,1.59,1.73,647100
138,2009-08-31,1.85,1.88,1.55,1.6,868300
139,2009-07-31,1.36,2.25,1.32,1.84,1829900
140,2009-06-30,1.31,1.4,1.2,1.34,500600
141,2009-05-29,1.27,1.44,1.27,1.31,632600
142,2009-04-30,0.98,1.49,0.92,1.27,1197200
143,2009-03-31,0.8,1.19,0.72,1.01,927100
144,2009-02-27,0.62,0.86,0.62,0.84,258600
145,2009-01-30,0.65,0.74,0.56,0.66,412300
146,2008-12-31,0.7,0.74,0.56,0.61,349500
147,2008-11-28,0.79,0.79,0.62,0.71,335500
148,2008-10-31,1.05,1.05,0.66,0.79,753800
149,2008-09-30,0.95,1.05,0.92,0.98,527900
150,2008-08-29,0.96,1.02,0.83,0.98,708700
151,2008-07-31,1.15,1.15,0.9,0.95,491500
152,2008-06-30,1.3,1.3,0.95,1.2,406400
153,2008-05-30,0.86,1.35,0.86,1.3,1430600
154,2008-04-30,1.07,1.07,0.86,0.86,586200
155,2008-03-31,0.93,1.07,0.7225,1.015,295700
156,2008-02-29,1.02,1.05,0.8,0.85,530300
157,2008-01-31,1.08,1.15,1.0,1.03,367200
158,2007-12-31,1.22,1.36,1.02,1.08,329700
159,2007-11-30,1.38,1.5,1.11,1.15,434800
160,2007-10-31,1.25,1.59,1.25,1.38,729900
161,2007-09-28,1.23,1.45,1.11,1.28,544400
162,2007-08-31,1.2,1.3,1.12,1.24,1475000
163,2007-07-31,1.62,1.7,1.05,1.2,950800
164,2007-06-29,1.7,1.78,1.58,1.62,456800
165,2007-05-31,1.55,1.9,1.55,1.68,1539200
166,2007-04-30,1.61,1.8,1.41,1.55,1103100
167,2007-03-30,1.52,1.67,1.39,1.65,1766400
168,2007-02-28,1.64,1.64,1.45,1.52,987900
169,2007-01-31,1.51,1.79,1.47,1.62,1926800
170,2006-12-29,1.55,1.62,1.41,1.5,1595600
171,2006-11-30,1.45,2.05,1.35,1.6,6070500
172,2006-10-31,1.0,1.52,0.94,1.42,2719600
173,2006-09-29,1.0,1.12,0.93,1.01,1497600
174,2006-08-31,0.78,1.25,0.75,1.0,3096700
175,2006-07-31,0.63,0.8,0.6,0.77,1142100
176,2006-06-30,0.59,0.64,0.48,0.61,299400
177,2006-05-31,0.49,0.78,0.45,0.6,905000
178,2006-04-28,0.48,0.57,0.45,0.5,1185600
179,2006-03-31,0.32,0.72,0.32,0.49,1820700
180,2006-02-28,0.2,0.4,0.16,0.32,780600
181,2006-01-31,0.19,0.25,0.12,0.21,2199200
182,2005-12-30,0.2364,0.26,0.18,0.19,709400
183,2005-11-30,0.27,0.34,0.2,0.2364,672000
184,2005-10-31,0.24,0.35,0.19,0.29,965000
185,2005-09-30,0.4,0.45,0.24,0.3,430400
186,2005-08-31,0.39,0.6,0.33,0.4,353600
187,2005-07-29,0.33,0.48,0.25,0.3888,434000
188,2005-06-30,0.34,0.49,0.26,0.33,84700
189,2005-05-31,0.5,0.6,0.33,0.33,90500
190,2005-04-29,0.5,0.6,0.35,0.5,191000
191,2005-03-31,0.355,0.65,0.35,0.5,152200
192,2005-02-28,0.55,0.55,0.35,0.355,39100
193,2005-01-31,0.25,0.7,0.25,0.45,163500
194,2004-12-31,0.3,0.7,0.2,0.25,157700
195,2004-11-30,0.18,0.3,0.18,0.3,45400
196,2004-10-29,0.2,0.25,0.18,0.2,28700
197,2004-09-30,0.23,0.26,0.2,0.2,51400
198,2004-08-31,0.27,0.29,0.2,0.23,61000
199,2004-07-30,0.4,0.45,0.27,0.27,128600
200,2004-06-30,0.34,0.45,0.3,0.3,57500
201,2004-05-28,0.44,0.5,0.34,0.34,55700
202,2004-04-30,0.45,0.74,0.35,0.39,135800
